name,pct_high_needs,funding_14_15,funding_est_15_16,is_charter
California Virtual Academy @ Fresno,65,7911,9735,TRUE
California Virtual Academy @ Jamestown,64,8890,10939,TRUE
California Virtual Academy @ Kings,61,8500,10457,TRUE
California Virtual Academy @ Los Angeles,61,8200,10100,TRUE
California Virtual Academy @ Maricopa,65,7922,9757,TRUE
California Virtual Academy @ San Diego,56,8006,9779,TRUE
California Virtual Academy @ San Joaquin,57,8148,9932,TRUE
California Virtual Academy @ San Mateo,43,7936,9599,TRUE
California Virtual Academy @ Sonoma,54,8001,9769,TRUE
California Virtual Academy @ Sutter,63,8420,10289,TRUE
California Virtual Academy High @ Maricopa,61,9110,11168,TRUE
Calipatria Unified,84,9642,11778,FALSE
Calvert Charter For Enriched Studies,65,8644,9904,TRUE
Camarillo Academy of Progressive Education,9,7132,8421,TRUE
Cambrian Elementary,24,8492,9059,FALSE
Camino Nuevo Academy #2,97,8879,11014,TRUE
Camino Nuevo Charter Academy,99,9178,11112,TRUE
Camino Nuevo Charter Academy No. 4,94,8859,11037,TRUE
Camino Nuevo Charter High,93,10513,12867,TRUE
Camino Nuevo Elementary No. 3,100,8930,11103,FALSE
Camino Nuevo High No. 2,98,10588,12967,FALSE
Camino Science and Natural Resources Charter,25,7172,8596,TRUE
Camino Union Elementary,54,8130,9703,FALSE
Camptonville Academy,55,7992,9702,TRUE
Canyon Elementary,4,7024,8447,FALSE
Canyon Elementary,11,8159,8504,FALSE
Capay Joint Union Elementary,54,7753,9302,FALSE
Capistrano Connections Academy,40,7957,9649,TRUE
Capistrano Unified,24,7668,9241,FALSE
Capitol Collegiate Academy,86,8611,10798,TRUE
Capri Elementary,51,7617,9287,FALSE
Carlsbad Unified,23,7471,9245,FALSE
Carpenter Community Charter,8,7093,8549,TRUE
Carter G. Woodson Public Charter,99,10410,13071,TRUE
Caruthers Unified,90,9655,12029,FALSE
"Casa Ramona Academy for Technology, Community, and Education",98,9263,11492,TRUE
Cascade Union Elementary,85,9097,11210,FALSE
Castaic Union,31,7452,8855,FALSE
Castle Rock,56,8553,10384,FALSE
Castle Rock Union Elementary,73,9735,10810,FALSE
Castlebay Lane Charter,18,7200,8707,TRUE
Castlemont Elementary,62,7925,9718,FALSE
Castro Valley Unified,26,7749,9225,FALSE
Cecil Avenue Math and Science Academy,96,8925,11139,TRUE
Ceiba College Preparatory Academy,83,9204,11429,TRUE
Celerity Cardinal Charter,96,9015,11359,TRUE
Celerity Dyad Charter,98,9067,11153,TRUE
Celerity Exa Charter,94,8632,10665,TRUE
Celerity Nascent Charter,91,9292,11172,TRUE
Celerity Octavia Charter,95,8893,11130,TRUE
Celerity Palmati Charter,98,8936,11212,TRUE
Celerity Sirius Charter,93,9065,11342,TRUE
Celerity Troika Charter,73,8354,10335,TRUE
Center for Advanced Learning,94,9071,11186,FALSE
Center For Learning and Educational Success,89,9868,12318,FALSE
Center Joint Unified,64,8397,10326,FALSE
Centinela Valley Union High,89,10851,13170,FALSE
Central California Connections Academy,53,8115,9906,TRUE
Central City Value,94,10331,12899,FALSE
Central Elementary,59,7792,9518,FALSE
Central Unified,67,8506,10505,FALSE
Central Union Elementary,55,7803,9367,FALSE
Central Union High,76,9922,12243,FALSE
Centralia Elementary,69,8182,10103,FALSE
Century Academy for Excellence,89,8703,10892,TRUE
Century Community Charter,88,8654,10831,TRUE
Ceres Unified,86,9258,11635,FALSE
Cesar Chavez Language Academy,73,8846,10674,TRUE
Chaffey Joint Union High,56,9046,10902,FALSE
CHAMPS - Charter HS of Arts-Multimedia & Performing,46,8731,10587,TRUE
Chandler Learning Academy,60,8486,9654,TRUE
Charter Alternative Program (CAP),17,7140,8506,TRUE
Charter Alternatives Academy,76,9241,11262,TRUE
Charter Community School Home Study Academy,10,7906,9318,TRUE
Charter Home School Academy,72,8033,9962,TRUE
Charter Montessori Blue Oak Campus,20,7204,8717,TRUE
Charter Oak Unified,57,8325,9954,TRUE
Charter School of Morgan Hill,6,7217,8390,TRUE
Charter School of San Diego,73,9483,11398,TRUE
Chatom Union,82,9087,11214,FALSE
Chatsworth Charter High,63,9544,11315,TRUE
Chawanakee Unified,55,9787,10933,FALSE
Chicago Park Community Charter,38,7452,8906,TRUE
Chicago Park Elementary,38,7649,8990,FALSE
Chico Country Day,21,7298,8621,FALSE
Chico Unified,49,8029,9703,FALSE
Children of Promise Preparatory Academy,96,9063,11506,TRUE
Children's Community Charter,40,7329,8916,TRUE
CHIME Institute's Schwarzenegger Community,22,7301,8667,FALSE
Chino Valley Unified,50,7997,9733,FALSE
Chowchilla Elementary,80,8779,10835,FALSE
Chowchilla Union High,77,10132,12437,FALSE
Chrysalis Charter,48,7572,9106,TRUE
Chualar Union,99,9581,11875,FALSE
Chula Vista Elementary,60,7940,9606,FALSE
Chula Vista Learning Community Charter,76,8207,10003,TRUE
Cielo Vista Charter,82,8682,10844,TRUE
Cienega Union Elementary,32,10001,11705,FALSE
Cinnabar Charter,77,8455,10473,TRUE
Circle of Independent Learning,17,7728,9264,FALSE
Citizens of the World 2,55,7749,9466,FALSE
Citizens of the World 3,35,8208,9216,FALSE
Citizens of the World Charter,44,7519,9121,TRUE
Citrus South Tule Elementary,91,9658,11609,FALSE
City Arts and Tech High,74,9608,11822,FALSE
City Charter Elementary,60,8615,9860,TRUE
City Charter Middle,20,7101,8407,TRUE
City Heights Preparatory Charter,100,8275,9981,TRUE
Civicorps Corpsmember Academy,94,10301,12629,TRUE
Claremont Unified,39,7971,9555,FALSE
Classical Academy,22,7169,8631,TRUE
Classical Academy High,19,8362,10061,TRUE
Clay Joint Elementary,28,7330,8870,FALSE
Clayton Valley Charter High,19,8370,10061,TRUE
Clear Creek Elementary,36,7439,8889,FALSE
Clemente Charter,98,9752,11526,TRUE
Cloverdale Unified,63,8527,10343,FALSE
Clovis Online Charter,33,8439,10132,TRUE
Clovis Unified,41,7889,9517,FALSE
Coachella Valley Unified,96,9728,12259,FALSE
Coalinga/Huron Joint Unified,85,9461,11647,FALSE
Coastal Academy,20,7147,8606,TRUE
Coastal Grove Charter,52,7642,9156,TRUE
Coffee Creek Elementary,17,15042,16763,FALSE
Coleman Tech Charter High,45,8746,10556,TRUE
Colfax Charter Elementary,26,7933,8827,TRUE
Colfax Elementary,51,7824,9162,FALSE
College Bridge Academy,99,10497,13221,TRUE
College Prep High,66,9152,11502,FALSE
College Preparatory Middle,32,7184,8562,FALSE
Colton Joint Unified,83,9163,11436,FALSE
Columbia Elementary,37,7697,9088,FALSE
Columbia Union,61,8341,10013,FALSE
Columbine Elementary,61,7980,9711,FALSE
Colusa Unified,71,8809,10720,FALSE
Come Back Kids,63,9157,11334,FALSE
Community Collaborative Charter,91,9721,12165,TRUE
Community Magnet Charter Elementary,30,8000,8827,TRUE
Community Montessori Charter,18,7478,8673,TRUE
Community Outreach Academy,95,9070,11226,TRUE
Community Roots Academy,4,7042,8418,TRUE
Community School for Creative Education,75,8361,10474,FALSE
