AcademicYear	AggregateLevel	CountyCode	DistrictCode	SchoolCode	CountyName	DistrictName	SchoolName	Charter	ReportingCategory	CumulativeEnrollment
2022-23	C	07			Contra Costa			No 	RB	13641
2022-23	C	07			Contra Costa			No 	RD	2364
2022-23	C	07			Contra Costa			No 	RF	6995
2022-23	C	07			Contra Costa			No 	RH	59306
2022-23	C	07			Contra Costa			No 	RI	484
2022-23	C	07			Contra Costa			No 	RP	1062
2022-23	C	07			Contra Costa			No 	RT	12237
2022-23	C	07			Contra Costa			No 	RW	42080
2022-23	C	07			Contra Costa			No 	SD	23737
2022-23	C	07			Contra Costa			No 	SE	28146
2022-23	C	07			Contra Costa			No 	SF	693
2022-23	C	07			Contra Costa			No 	SH	2702
2022-23	C	07			Contra Costa			No 	SM	*
2022-23	C	07			Contra Costa			No 	SS	68107
2022-23	C	07			Contra Costa			No 	TA	162786
2022-23	C	07			Contra Costa			Yes	GF	6706
2022-23	C	07			Contra Costa			Yes	GM	6743
2022-23	C	07			Contra Costa			Yes	GX	28
2022-23	C	07			Contra Costa			Yes	RA	606
2022-23	C	07			Contra Costa			Yes	RB	1290
2022-23	C	07			Contra Costa			Yes	RD	402
2022-23	C	07			Contra Costa			Yes	RF	303
2022-23	C	07			Contra Costa			Yes	RH	8302
2022-23	C	07			Contra Costa			Yes	RI	40
2022-23	C	07			Contra Costa			Yes	RP	60
2022-23	C	07			Contra Costa			Yes	RT	654
2022-23	C	07			Contra Costa			Yes	RW	1820
2022-23	C	07			Contra Costa			Yes	SD	1712
2022-23	C	07			Contra Costa			Yes	SE	3310
2022-23	C	07			Contra Costa			Yes	SF	34
2022-23	C	07			Contra Costa			Yes	SH	177
2022-23	C	07			Contra Costa			Yes	SS	8431
2022-23	C	07			Contra Costa			Yes	TA	13477
2022-23	C	08			Del Norte			All	GF	2134
2022-23	C	08			Del Norte			All	GM	2225
2022-23	C	08			Del Norte			All	GX	13
2022-23	C	08			Del Norte			All	RA	155
2022-23	C	08			Del Norte			All	RB	22
2022-23	C	08			Del Norte			All	RD	*
2022-23	C	08			Del Norte			All	RF	16
2022-23	C	08			Del Norte			All	RH	1029
2022-23	C	08			Del Norte			All	RI	605
2022-23	C	08			Del Norte			All	RP	*
2022-23	C	08			Del Norte			All	RT	376
2022-23	C	08			Del Norte			All	RW	2157
2022-23	C	08			Del Norte			All	SD	773
2022-23	C	08			Del Norte			All	SE	256
2022-23	C	08			Del Norte			All	SF	103
2022-23	C	08			Del Norte			All	SH	241
2022-23	C	08			Del Norte			All	SS	3022
2022-23	C	08			Del Norte			All	TA	4372
2022-23	C	08			Del Norte			No 	GF	1814
2022-23	C	08			Del Norte			No 	GM	1960
2022-23	C	08			Del Norte			No 	GX	11
2022-23	C	08			Del Norte			No 	RA	142
2022-23	C	08			Del Norte			No 	RB	21
2022-23	C	08			Del Norte			No 	RD	*
2022-23	C	08			Del Norte			No 	RF	13
2022-23	C	08			Del Norte			No 	RH	925
2022-23	C	08			Del Norte			No 	RI	562
2022-23	C	08			Del Norte			No 	RP	*
2022-23	C	08			Del Norte			No 	RT	323
2022-23	C	08			Del Norte			No 	RW	1789
2022-23	C	08			Del Norte			No 	SD	673
2022-23	C	08			Del Norte			No 	SE	248
2022-23	C	08			Del Norte			No 	SF	99
2022-23	C	08			Del Norte			No 	SH	225
2022-23	C	08			Del Norte			No 	SS	2643
2022-23	C	08			Del Norte			No 	TA	3785
2022-23	C	08			Del Norte			Yes	GF	430
2022-23	C	08			Del Norte			Yes	GM	361
2022-23	C	08			Del Norte			Yes	GX	*
2022-23	C	08			Del Norte			Yes	RA	17
2022-23	C	08			Del Norte			Yes	RB	*
2022-23	C	08			Del Norte			Yes	RD	*
2022-23	C	08			Del Norte			Yes	RF	*
2022-23	C	08			Del Norte			Yes	RH	148
2022-23	C	08			Del Norte			Yes	RI	91
2022-23	C	08			Del Norte			Yes	RP	*
2022-23	C	08			Del Norte			Yes	RT	72
2022-23	C	08			Del Norte			Yes	RW	463
2022-23	C	08			Del Norte			Yes	SD	142
2022-23	C	08			Del Norte			Yes	SE	21
2022-23	C	08			Del Norte			Yes	SF	11
2022-23	C	08			Del Norte			Yes	SH	48
2022-23	C	08			Del Norte			Yes	SS	559
2022-23	C	08			Del Norte			Yes	TA	798
2022-23	C	09			El Dorado			All	GF	15827
2022-23	C	09			El Dorado			All	GM	16624
2022-23	C	09			El Dorado			All	GX	59
2022-23	C	09			El Dorado			All	RA	1411
2022-23	C	09			El Dorado			All	RB	334
2022-23	C	09			El Dorado			All	RD	329
2022-23	C	09			El Dorado			All	RF	420
